Freq.	V(vin)/-I(R1)
1.99526231496887e+005	(6.92468238312339e+001dB,1.01894568848888e+001°)
2.04173794466952e+005	(6.92723132433040e+001dB,1.03623405012394e+001°)
2.08929613085403e+005	(6.92986949037365e+001dB,1.05354383336388e+001°)
2.13796208950222e+005	(6.93259871339231e+001dB,1.07085632270908e+001°)
2.18776162394954e+005	(6.93542075482771e+001dB,1.08815173577674e+001°)
2.23872113856833e+005	(6.93833729466956e+001dB,1.10540921205151e+001°)
2.29086765276776e+005	(6.94134992019040e+001dB,1.12260680566038e+001°)
2.34422881531991e+005	(6.94446011419134e+001dB,1.13972148258373e+001°)
2.39883291901948e+005	(6.94766924278800e+001dB,1.15672912272042e+001°)
2.45470891568502e+005	(6.95097854277235e+001dB,1.17360452722663e+001°)
2.51188643150957e+005	(6.95438910859272e+001dB,1.19032143154667e+001°)
2.57039578276885e+005	(6.95790187900152e+001dB,1.20685252454769e+001°)
2.63026799189537e+005	(6.96151762342764e+001dB,1.22316947415946e+001°)
2.69153480392690e+005	(6.96523692813750e+001dB,1.23924295990469e+001°)
2.75422870333815e+005	(6.96906018225692e+001dB,1.25504271268417e+001°)
2.81838293126444e+005	(6.97298756373292e+001dB,1.27053756215441e+001°)
2.88403150312659e+005	(6.97701902532225e+001dB,1.28569549200303e+001°)
2.95120922666637e+005	(6.98115428070088e+001dB,1.30048370338893e+001°)
3.01995172040200e+005	(6.98539279079502e+001dB,1.31486868676991e+001°)
3.09029543251358e+005	(6.98973375044159e+001dB,1.32881630229043e+001°)
3.16227766016836e+005	(6.99417607549136e+001dB,1.34229186884600e+001°)
3.23593656929627e+005	(6.99871839047397e+001dB,1.35526026187918e+001°)
3.31131121482589e+005	(7.00335901694849e+001dB,1.36768601989489e+001°)
3.38844156139201e+005	(7.00809596266713e+001dB,1.37953345961062e+001°)
3.46736850452530e+005	(7.01292691168287e+001dB,1.39076679958010e+001°)
3.54813389233574e+005	(7.01784921553353e+001dB,1.40135029204784e+001°)
3.63078054770099e+005	(7.02285988563606e+001dB,1.41124836270714e+001°)
3.71535229097171e+005	(7.02795558702412e+001dB,1.42042575794591e+001°)
3.80189396320559e+005	(7.03313263356100e+001dB,1.42884769907467e+001°)
3.89045144994279e+005	(7.03838698475672e+001dB,1.43648004293840e+001°)
3.98107170553495e+005	(7.04371424431410e+001dB,1.44328944822103e+001°)
4.07380277804111e+005	(7.04910966052319e+001dB,1.44924354665779e+001°)
4.16869383470333e+005	(7.05456812861591e+001dB,1.45431111827781e+001°)
4.26579518801590e+005	(7.06008419518469e+001dB,1.45846226970787e+001°)
4.36515832240164e+005	(7.06565206475852e+001dB,1.46166861447911e+001°)
4.46683592150961e+005	(7.07126560861817e+001dB,1.46390345419261e+001°)
4.57088189614873e+005	(7.07691837591947e+001dB,1.46514195931807e+001°)
4.67735141287196e+005	(7.08260360717823e+001dB,1.46536134832325e+001°)
4.78630092322636e+005	(7.08831425015471e+001dB,1.46454106376210e+001°)
4.89778819368444e+005	(7.09404297815714e+001dB,1.46266294388637e+001°)
5.01187233627270e+005	(7.09978221076467e+001dB,1.45971138829215e+001°)
5.12861383991362e+005	(7.10552413694926e+001dB,1.45567351606890e+001°)
5.24807460249770e+005	(7.11126074055352e+001dB,1.45053931488627e+001°)
5.37031796370250e+005	(7.11698382805831e+001dB,1.44430177943512e+001°)
5.49540873857621e+005	(7.12268505854853e+001dB,1.43695703763466e+001°)
5.62341325190346e+005	(7.12835597576032e+001dB,1.42850446302957e+001°)
5.75439937337154e+005	(7.13398804206569e+001dB,1.41894677183074e+001°)
5.88843655355586e+005	(7.13957267422383e+001dB,1.40829010310297e+001°)
6.02559586074354e+005	(7.14510128070035e+001dB,1.39654408067344e+001°)
6.16595001861479e+005	(7.15056530032888e+001dB,1.38372185542805e+001°)
6.30957344480189e+005	(7.15595624206215e+001dB,1.36984012677953e+001°)
6.45654229034652e+005	(7.16126572553407e+001dB,1.35491914223254e+001°)
6.60693448007592e+005	(7.16648552212992e+001dB,1.33898267413728e+001°)
6.76082975391978e+005	(7.17160759623977e+001dB,1.32205797291391e+001°)
6.91830970918932e+005	(7.17662414635049e+001dB,1.30417569624529e+001°)
7.07945784384134e+005	(7.18152764561596e+001dB,1.28536981397283e+001°)
7.24435960074986e+005	(7.18631088153269e+001dB,1.26567748868847e+001°)
7.41310241300913e+005	(7.19096699434077e+001dB,1.24513893229114e+001°)
7.58577575029179e+005	(7.19548951376736e+001dB,1.22379723906541e+001°)
7.76247116628687e+005	(7.19987239373340e+001dB,1.20169819613841e+001°)
7.94328234724276e+005	(7.20411004465317e+001dB,1.17889007247378e+001°)
8.12830516164094e+005	(7.20819736297191e+001dB,1.15542338786209e+001°)
8.31763771102666e+005	(7.21212975760826e+001dB,1.13135066365993e+001°)
8.51138038202371e+005	(7.21590317299670e+001dB,1.10672615730796e+001°)
8.70963589956075e+005	(7.21951410845889e+001dB,1.08160558291509e+001°)
8.91250938133740e+005	(7.22295963367307e+001dB,1.05604582042470e+001°)
9.12010839355904e+005	(7.22623740005531e+001dB,1.03010461607418e+001°)
9.33254300796985e+005	(7.22934564791597e+001dB,1.00384027701395e+001°)
9.54992586021430e+005	(7.23228320930708e+001dB,9.77311363063744e+000°)
9.77237220955804e+005	(7.23504950653187e+001dB,9.50576378646668e+000°)
9.99999999999993e+005	(7.23764454634373e+001dB,9.23693467954408e+000°)
1.02329299228075e+006	(7.24006890991842e+001dB,8.96720116357833e+000°)
1.04712854805089e+006	(7.24232373873869e+001dB,8.69712860986904e+000°)
1.07151930523760e+006	(7.24441071658303e+001dB,8.42727013263565e+000°)
1.09647819614318e+006	(7.24633204785995e+001dB,8.15816395984411e+000°)
1.12201845430196e+006	(7.24809043257369e+001dB,7.89033097320574e+000°)
1.14815362149688e+006	(7.24968903824648e+001dB,7.62427243835852e+000°)
1.17489755493952e+006	(7.25113146915568e+001dB,7.36046794327012e+000°)
1.20226443461740e+006	(7.25242173326987e+001dB,7.09937355969489e+000°)
1.23026877081237e+006	(7.25356420728719e+001dB,6.84142023914717e+000°)
1.25892541179416e+006	(7.25456360019053e+001dB,6.58701245139925e+000°)
1.28824955169313e+006	(7.25542491573850e+001dB,6.33652707004949e+000°)
1.31825673855640e+006	(7.25615341430776e+001dB,6.09031250630672e+000°)
1.34896288259164e+006	(7.25675457449303e+001dB,5.84868808887111e+000°)
1.38038426460288e+006	(7.25723405485446e+001dB,5.61194368471756e+000°)
1.41253754462274e+006	(7.25759765618115e+001dB,5.38033955276065e+000°)
1.44543977074592e+006	(7.25785128461286e+001dB,5.15410641984007e+000°)
1.47910838816820e+006	(7.25800091593173e+001dB,4.93344576624880e+000°)
1.51356124843620e+006	(7.25805256130270e+001dB,4.71853030615200e+000°)
1.54881661891247e+006	(7.25801223470559e+001dB,4.50950464672858e+000°)
1.58489319246110e+006	(7.25788592226491e+001dB,4.30648610871011e+000°)
1.62181009735892e+006	(7.25767955364610e+001dB,4.10956569018935e+000°)
1.65958690743755e+006	(7.25739897564982e+001dB,3.91880915510792e+000°)
1.69824365246173e+006	(7.25704992809939e+001dB,3.73425822769104e+000°)
1.73780082874936e+006	(7.25663802208216e+001dB,3.55593187425002e+000°)
1.77827941003891e+006	(7.25616872057227e+001dB,3.38382765419131e+000°)
1.81970085860997e+006	(7.25564732143275e+001dB,3.21792312272174e+000°)
1.86208713666285e+006	(7.25507894276652e+001dB,3.05817726858900e+000°)
1.90546071796323e+006	(7.25446851056204e+001dB,2.90453197120929e+000°)
1.94984459975803e+006	(7.25382074855723e+001dB,2.75691346267648e+000°)
1.99526231496887e+006	(7.25314017022753e+001dB,2.61523378138517e+000°)
2.04173794466951e+006	(7.25243107278813e+001dB,2.47939220530267e+000°)
2.08929613085402e+006	(7.25169753308881e+001dB,2.34927665426287e+000°)
2.13796208950222e+006	(7.25094340527028e+001dB,2.22476505200185e+000°)
2.18776162394954e+006	(7.25017232004437e+001dB,2.10572663998753e+000°)
2.23872113856832e+006	(7.24938768545668e+001dB,1.99202323639384e+000°)
2.29086765276776e+006	(7.24859268898832e+001dB,1.88351043481615e+000°)
2.34422881531990e+006	(7.24779030085416e+001dB,1.78003873850594e+000°)
2.39883291901947e+006	(7.24698327835683e+001dB,1.68145462700755e+000°)
2.45470891568501e+006	(7.24617417115961e+001dB,1.58760155310037e+000°)
2.51188643150956e+006	(7.24536532734661e+001dB,1.49832086888106e+000°)
2.57039578276884e+006	(7.24455890014441e+001dB,1.41345268065865e+000°)
2.63026799189536e+006	(7.24375685518661e+001dB,1.33283663307991e+000°)
2.69153480392689e+006	(7.24296097821015e+001dB,1.25631262355446e+000°)
2.75422870333814e+006	(7.24217288308044e+001dB,1.18372144861007e+000°)
2.81838293126443e+006	(7.24139402005050e+001dB,1.11490538428299e+000°)
2.88403150312658e+006	(7.24062568416796e+001dB,1.04970870303997e+000°)
2.95120922666636e+006	(7.23986902375183e+001dB,9.87978130043289e-001°)
3.01995172040199e+006	(7.23912504886956e+001dB,9.29563241813370e-001°)
3.09029543251357e+006	(7.23839463975273e+001dB,8.74316810521896e-001°)
3.16227766016835e+006	(7.23767855509742e+001dB,8.22095097267666e-001°)
3.23593656929626e+006	(7.23697744020284e+001dB,7.72758097754351e-001°)
3.31131121482588e+006	(7.23629183490841e+001dB,7.26169743810115e-001°)
3.38844156139200e+006	(7.23562218129632e+001dB,6.82198064169711e-001°)
3.46736850452529e+006	(7.23496883113226e+001dB,6.40715307885996e-001°)
3.54813389233573e+006	(7.23433205302274e+001dB,6.01598033655360e-001°)
3.63078054770098e+006	(7.23371203927233e+001dB,5.64727168235209e-001°)
3.71535229097170e+006	(7.23310891242867e+001dB,5.29988037006395e-001°)
3.80189396320558e+006	(7.23252273150733e+001dB,4.97270369593175e-001°)
3.89045144994277e+006	(7.23195349789193e+001dB,4.66468283302151e-001°)
3.98107170553494e+006	(7.23140116090835e+001dB,4.37480246982765e-001°)
4.07380277804109e+006	(7.23086562307456e+001dB,4.10209027748484e-001°)
4.16869383470332e+006	(7.23034674502986e+001dB,3.84561622832322e-001°)
4.26579518801589e+006	(7.22984435014955e+001dB,3.60449178685079e-001°)
4.36515832240162e+006	(7.22935822885254e+001dB,3.37786899261468e-001°)
4.46683592150959e+006	(7.22888814261108e+001dB,3.16493945279721e-001°)
4.57088189614871e+006	(7.22843382767247e+001dB,2.96493326085664e-001°)
4.67735141287194e+006	(7.22799499850407e+001dB,2.77711785603463e-001°)
4.78630092322634e+006	(7.22757135097309e+001dB,2.60079683713246e-001°)
4.89778819368442e+006	(7.22716256527334e+001dB,2.43530874260996e-001°)
5.01187233627268e+006	(7.22676830861146e+001dB,2.28002580778977e-001°)
5.12861383991360e+006	(7.22638823766514e+001dB,2.13435270875672e-001°)
5.24807460249768e+006	(7.22602200082588e+001dB,1.99772530142908e-001°)
5.37031796370248e+006	(7.22566924023900e+001dB,1.86960936324462e-001°)
5.49540873857620e+006	(7.22532959365300e+001dB,1.74949934394904e-001°)
5.62341325190344e+006	(7.22500269609048e+001dB,1.63691713109553e-001°)
5.75439937337152e+006	(7.22468818135235e+001dB,1.53141083505890e-001°)
5.88843655355584e+006	(7.22438568336654e+001dB,1.43255359763389e-001°)
6.02559586074352e+006	(7.22409483739242e+001dB,1.33994242762071e-001°)
6.16595001861477e+006	(7.22381528109115e+001dB,1.25319706619857e-001°)
6.30957344480187e+006	(7.22354665547223e+001dB,1.17195888434588e-001°)
6.45654229034650e+006	(7.22328860572560e+001dB,1.09588981408038e-001°)
6.60693448007590e+006	(7.22304078194852e+001dB,1.02467131485969e-001°)
6.76082975391976e+006	(7.22280283977564e+001dB,9.58003376098926e-002°)
6.91830970918930e+006	(7.22257444092048e+001dB,8.95603556423227e-002°)
7.07945784384131e+006	(7.22235525363589e+001dB,8.37206059976069e-002°)
7.24435960074983e+006	(7.22214495310046e+001dB,7.82560849845091e-002°)
7.41310241300911e+006	(7.22194322173789e+001dB,7.31432798442858e-002°)
7.58577575029177e+006	(7.22174974947514e+001dB,6.83600874487319e-002°)
7.76247116628684e+006	(7.22156423394554e+001dB,6.38857366062548e-002°)
7.94328234724274e+006	(7.22138638064192e+001dB,5.97007139102081e-002°)
8.12830516164092e+006	(7.22121590302507e+001dB,5.57866930521982e-002°)
8.31763771102663e+006	(7.22105252259189e+001dB,5.21264675136458e-002°)
8.51138038202368e+006	(7.22089596890768e+001dB,4.87038865412887e-002°)
8.70963589956072e+006	(7.22074597960642e+001dB,4.55037943063727e-002°)
8.91250938133737e+006	(7.22060230036273e+001dB,4.25119721427783e-002°)
9.12010839355901e+006	(7.22046468483880e+001dB,3.97150837561143e-002°)
9.33254300796982e+006	(7.22033289460929e+001dB,3.71006232937093e-002°)
9.54992586021427e+006	(7.22020669906712e+001dB,3.46568661643019e-002°)
9.77237220955801e+006	(7.22008587531258e+001dB,3.23728224959459e-002°)
1.00000000000000e+007	(7.21997020802815e+001dB,3.02381931210816e-002°)
