-9;-9.0362;0.8902;-9.0362;0.8902
-6.80E+00;6.80E-01;-9,-8.9,-8.8,-8.7,-8.6,-8.5,-8.4,-8.3,-8.2,-8.1,-8,-7.9,-7.8,-7.7,-7.6,-7.5,-7.4,-7.3,-7.2,-7.1,-7,-6.9,-6.8;0.8998945,0.8898946,0.8798947,0.8698949,0.859895,0.8498951,0.8398952,0.8298954,0.8198955,0.8098956,0.7998958,0.7898959,0.779896,0.7698961,0.7598963,0.7498964,0.7398965,0.7298967,0.7198967,0.7098969,0.699897,0.6898971,0.6798972;
-6.70E+00;6.70E-01;-9,-8.9,-8.8,-8.7,-8.6,-8.5,-8.4,-8.3,-8.2,-8.1,-8,-7.9,-7.8,-7.7,-7.6,-7.5,-7.4,-7.3,-7.2,-7.1,-7,-6.9,-6.8,-6.7;0.8998945,0.8898946,0.8798947,0.8698949,0.859895,0.8498951,0.8398952,0.8298954,0.8198955,0.8098956,0.7998958,0.7898959,0.779896,0.7698961,0.7598963,0.7498964,0.7398965,0.7298967,0.7198967,0.7098969,0.699897,0.6898971,0.6798972,0.6698974;
-6.60E+00;6.60E-01;-9,-8.9,-8.8,-8.7,-8.6,-8.5,-8.4,-8.3,-8.2,-8.1,-8,-7.9,-7.8,-7.7,-7.6,-7.5,-7.4,-7.3,-7.2,-7.1,-7,-6.9,-6.8,-6.7,-6.6;0.8998945,0.8898946,0.8798947,0.8698949,0.859895,0.8498951,0.8398952,0.8298954,0.8198955,0.8098956,0.7998958,0.7898959,0.779896,0.7698961,0.7598963,0.7498964,0.7398965,0.7298967,0.7198967,0.7098969,0.699897,0.6898971,0.6798972,0.6698974,0.6598975;
-6.50E+00;6.50E-01;-9,-8.9,-8.8,-8.7,-8.6,-8.5,-8.4,-8.3,-8.2,-8.1,-8,-7.9,-7.8,-7.7,-7.6,-7.5,-7.4,-7.3,-7.2,-7.1,-7,-6.9,-6.8,-6.7,-6.6,-6.5;0.8998945,0.8898946,0.8798947,0.8698949,0.859895,0.8498951,0.8398952,0.8298954,0.8198955,0.8098956,0.7998958,0.7898959,0.779896,0.7698961,0.7598963,0.7498964,0.7398965,0.7298967,0.7198967,0.7098969,0.699897,0.6898971,0.6798972,0.6698974,0.6598975,0.6498976;
-6.40E+00;6.40E-01;-9,-8.9,-8.8,-8.7,-8.6,-8.5,-8.4,-8.3,-8.2,-8.1,-8,-7.9,-7.8,-7.7,-7.6,-7.5,-7.4,-7.3,-7.2,-7.1,-7,-6.9,-6.8,-6.7,-6.6,-6.5,-6.4;0.8998945,0.8898946,0.8798947,0.8698949,0.859895,0.8498951,0.8398952,0.8298954,0.8198955,0.8098956,0.7998958,0.7898959,0.779896,0.7698961,0.7598963,0.7498964,0.7398965,0.7298967,0.7198967,0.7098969,0.699897,0.6898971,0.6798972,0.6698974,0.6598975,0.6498976,0.6398978;
-6.30E+00;6.30E-01;-9,-8.9,-8.8,-8.7,-8.6,-8.5,-8.4,-8.3,-8.2,-8.1,-8,-7.9,-7.8,-7.7,-7.6,-7.5,-7.4,-7.3,-7.2,-7.1,-7,-6.9,-6.8,-6.7,-6.6,-6.5,-6.4,-6.30000000000001;0.8998945,0.8898946,0.8798947,0.8698949,0.859895,0.8498951,0.8398952,0.8298954,0.8198955,0.8098956,0.7998958,0.7898959,0.779896,0.7698961,0.7598963,0.7498964,0.7398965,0.7298967,0.7198967,0.7098969,0.699897,0.6898971,0.6798972,0.6698974,0.6598975,0.6498976,0.6398978,0.6298979;
-6.20E+00;6.20E-01;-9,-8.9,-8.8,-8.7,-8.6,-8.5,-8.4,-8.3,-8.2,-8.1,-8,-7.9,-7.8,-7.7,-7.6,-7.5,-7.4,-7.3,-7.2,-7.1,-7,-6.9,-6.8,-6.7,-6.6,-6.5,-6.4,-6.30000000000001,-6.20000000000001;0.8998945,0.8898946,0.8798947,0.8698949,0.859895,0.8498951,0.8398952,0.8298954,0.8198955,0.8098956,0.7998958,0.7898959,0.779896,0.7698961,0.7598963,0.7498964,0.7398965,0.7298967,0.7198967,0.7098969,0.699897,0.6898971,0.6798972,0.6698974,0.6598975,0.6498976,0.6398978,0.6298979,0.619898;
-6.10E+00;6.10E-01;-9,-8.9,-8.8,-8.7,-8.6,-8.5,-8.4,-8.3,-8.2,-8.1,-8,-7.9,-7.8,-7.7,-7.6,-7.5,-7.4,-7.3,-7.2,-7.1,-7,-6.9,-6.8,-6.7,-6.6,-6.5,-6.4,-6.30000000000001,-6.20000000000001,-6.10000000000001;0.8998945,0.8898946,0.8798947,0.8698949,0.859895,0.8498951,0.8398952,0.8298954,0.8198955,0.8098956,0.7998958,0.7898959,0.779896,0.7698961,0.7598963,0.7498964,0.7398965,0.7298967,0.7198967,0.7098969,0.699897,0.6898971,0.6798972,0.6698974,0.6598975,0.6498976,0.6398978,0.6298979,0.619898,0.6098981;
-6.00E+00;6.00E-01;-9,-8.9,-8.8,-8.7,-8.6,-8.5,-8.4,-8.3,-8.2,-8.1,-8,-7.9,-7.8,-7.7,-7.6,-7.5,-7.4,-7.3,-7.2,-7.1,-7,-6.9,-6.8,-6.7,-6.6,-6.5,-6.4,-6.30000000000001,-6.20000000000001,-6.10000000000001,-6.00000000000001;0.8998945,0.8898946,0.8798947,0.8698949,0.859895,0.8498951,0.8398952,0.8298954,0.8198955,0.8098956,0.7998958,0.7898959,0.779896,0.7698961,0.7598963,0.7498964,0.7398965,0.7298967,0.7198967,0.7098969,0.699897,0.6898971,0.6798972,0.6698974,0.6598975,0.6498976,0.6398978,0.6298979,0.619898,0.6098981,0.5998983;
-5.90E+00;5.90E-01;-9,-8.9,-8.8,-8.7,-8.6,-8.5,-8.4,-8.3,-8.2,-8.1,-8,-7.9,-7.8,-7.7,-7.6,-7.5,-7.4,-7.3,-7.2,-7.1,-7,-6.9,-6.8,-6.7,-6.6,-6.5,-6.4,-6.30000000000001,-6.20000000000001,-6.10000000000001,-6.00000000000001,-5.90000000000001;0.8998945,0.8898946,0.8798947,0.8698949,0.859895,0.8498951,0.8398952,0.8298954,0.8198955,0.8098956,0.7998958,0.7898959,0.779896,0.7698961,0.7598963,0.7498964,0.7398965,0.7298967,0.7198967,0.7098969,0.699897,0.6898971,0.6798972,0.6698974,0.6598975,0.6498976,0.6398978,0.6298979,0.619898,0.6098981,0.5998983,0.5898984;
