frequency;MAG;PHA
2948.226599;-19.99669938;71.55766406
2959.122336;-19.84331719;71.62468223
2970.05834;-19.69491433;71.67136549
2981.03476;-19.53902231;71.73569359
2992.051746;-19.398222;71.83984783
3003.109447;-19.24661403;71.97816524
3014.208014;-19.10586704;72.06991854
3025.347597;-18.95889379;72.12699518
3036.528349;-18.82994508;72.19196315
3047.750422;-18.6803968;72.23866497
3059.013968;-18.55950017;72.26679276
3070.319141;-18.41764956;72.36826501
3081.666094;-18.29810183;72.38733377
3093.054982;-18.15732126;72.46734527
3104.48596;-18.03926566;72.40279879
3115.959183;-17.91433113;72.48729696
3127.474807;-17.79569902;72.52124677
3139.03299;-17.66556058;72.58758588
3150.633889;-17.54132768;72.56189829
3162.27766;-17.43629075;72.57269072
3173.964464;-17.32116131;72.57526153
3185.694458;-17.20250822;72.54484744
3197.467803;-17.08331937;72.60094974
3209.284658;-16.96980698;72.62304981
3221.145185;-16.87074144;72.61675794
3233.049544;-16.75660034;72.61668619
3244.997899;-16.65900701;72.60643939
3256.990411;-16.53726692;72.68986396
3269.027243;-16.43293789;72.52143239
3281.10856;-16.33029285;72.58169856
3293.234526;-16.23677239;72.55293546
3305.405306;-16.12683362;72.53107737
3317.621065;-16.03496612;72.59321333
3329.88197;-15.93765085;72.4971466
3342.188187;-15.83017422;72.49472597
3354.539884;-15.74602569;72.51031679
3366.93723;-15.63743588;72.43806269
3379.380392;-15.54388567;72.37356169
3391.86954;-15.44735153;72.39473147
3404.404844;-15.35574766;72.35701489
3416.986475;-15.25933322;72.31638472
3429.614604;-15.17128504;72.32335347
3442.289402;-15.08650799;72.25709876
3455.011043;-14.99401565;72.16567349
3467.779699;-14.8990019;72.17318337
3480.595543;-14.81155386;72.0765603
3493.458752;-14.73015359;72.07972692
3506.369498;-14.63848222;72.02375686
3519.327959;-14.55615829;71.95819247
3532.33431;-14.47453216;71.92096606
3545.388729;-14.39301627;71.87261713
3558.491393;-14.30551345;71.84770767
3571.64248;-14.22237937;71.83461651
3584.84217;-14.14894383;71.70459628
3598.090641;-14.06796535;71.70576943
3611.388075;-13.98111445;71.63606437
3624.734652;-13.90801497;71.61475884
3638.130554;-13.83300381;71.51236442
3651.575963;-13.7464091;71.49628227
3665.071063;-13.67409616;71.38954239
3678.616035;-13.60161531;71.33847493
3692.211066;-13.52819929;71.28252517
3705.85634;-13.4507598;71.22965155
3719.552043;-13.37146367;71.15326384
3733.298361;-13.30356099;71.1478793
3747.095481;-13.22847399;71.09603078
3760.943591;-13.15684199;71.01836343
3774.842879;-13.08327825;70.93890105
3788.793534;-13.01448705;70.87227158
3802.795747;-12.942793;70.80355281
3816.849708;-12.87737071;70.75832697
3830.955608;-12.80354339;70.67461673
3845.113639;-12.73771333;70.64317678
3859.323994;-12.66223319;70.52269085
3873.586866;-12.60510459;70.47667448
3887.902449;-12.52493457;70.4085539
3902.270938;-12.46408006;70.32596944
3916.692528;-12.40051391;70.25283175
3931.167416;-12.34054416;70.20234696
3945.695799;-12.27126039;70.1377034
3960.277875;-12.20565971;70.05920566
3974.913841;-12.14673961;69.99812983
3989.603897;-12.07615477;69.89005711
4004.348243;-12.01369519;69.81694476
4019.14708;-11.96030991;69.76544697
4034.000609;-11.88462676;69.66467127
4048.909032;-11.82460994;69.57909481
4063.872551;-11.76522284;69.49970198
4078.891372;-11.70233691;69.45077885
4093.965697;-11.64411552;69.38206911
