Freq.	V(vin)/I(R3)
3.38041487695990e+005	(8.20710905390063e+001dB,1.79937060392089e+002°)
3.45915485459467e+005	(8.20708935307676e+001dB,1.79936196407063e+002°)
3.53972892192068e+005	(8.20706904120745e+001dB,1.79935347178045e+002°)
3.62217980037494e+005	(8.20704811416943e+001dB,1.79934514678630e+002°)
3.70655120650458e+005	(8.20702656926114e+001dB,1.79933700960677e+002°)
3.79288787514591e+005	(8.20700440533436e+001dB,1.79932908151394e+002°)
3.88123558314345e+005	(8.20698162292880e+001dB,1.79932138449630e+002°)
3.97164117362140e+005	(8.20695822440863e+001dB,1.79931394121295e+002°)
4.06415258082049e+005	(8.20693421409992e+001dB,1.79930677493853e+002°)
4.15881885551334e+005	(8.20690959842772e+001dB,1.79929990949841e+002°)
4.25569019101187e+005	(8.20688438605139e+001dB,1.79929336919347e+002°)
4.35481794978039e+005	(8.20685858799661e+001dB,1.79928717871420e+002°)
4.45625469066872e+005	(8.20683221778229e+001dB,1.79928136304371e+002°)
4.56005419677954e+005	(8.20680529154050e+001dB,1.79927594734926e+002°)
4.66627150398494e+005	(8.20677782812739e+001dB,1.79927095686254e+002°)
4.77496293010717e+005	(8.20674984922281e+001dB,1.79926641674831e+002°)
4.88618610477904e+005	(8.20672137941644e+001dB,1.79926235196198e+002°)
4.99999999999999e+005	(8.20669244627792e+001dB,1.79925878709623e+002°)
5.11646496140376e+005	(8.20666308040854e+001dB,1.79925574621747e+002°)
5.23564274025448e+005	(8.20663331547208e+001dB,1.79925325269290e+002°)
5.35759652618802e+005	(8.20660318820219e+001dB,1.79925132900918e+002°)
5.48239098071591e+005	(8.20657273838411e+001dB,1.79924999658415e+002°)
5.61009227150980e+005	(8.20654200880834e+001dB,1.79924927557316e+002°)
5.74076810748440e+005	(8.20651104519435e+001dB,1.79924918467174e+002°)
5.87448777469763e+005	(8.20647989608240e+001dB,1.79924974091691e+002°)
6.01132217308705e+005	(8.20644861269221e+001dB,1.79925095948934e+002°)
6.15134385406189e+005	(8.20641724874735e+001dB,1.79925285351895e+002°)
6.29462705897082e+005	(8.20638586026486e+001dB,1.79925543389677e+002°)
6.44124775846565e+005	(8.20635450531002e+001dB,1.79925870909589e+002°)
6.59128369278201e+005	(8.20632324371694e+001dB,1.79926268500458e+002°)
6.74481441295825e+005	(8.20629213677621e+001dB,1.79926736477463e+002°)
6.90192132301440e+005	(8.20626124689140e+001dB,1.79927274868792e+002°)
7.06268772311375e+005	(8.20623063720727e+001dB,1.79927883404421e+002°)
7.22719885372961e+005	(8.20620037121266e+001dB,1.79928561507300e+002°)
7.39554194084101e+005	(8.20617051232242e+001dB,1.79929308287190e+002°)
7.56780624218101e+005	(8.20614112344275e+001dB,1.79930122537384e+002°)
7.74408309456238e+005	(8.20611226652526e+001dB,1.79931002734500e+002°)
7.92446596230554e+005	(8.20608400211542e+001dB,1.79931947041475e+002°)
8.10905048679462e+005	(8.20605638890163e+001dB,1.79932953313855e+002°)
8.29793453718777e+005	(8.20602948327098e+001dB,1.79934019109410e+002°)
8.49121826230869e+005	(8.20600333887858e+001dB,1.79935141701037e+002°)
8.68900414374684e+005	(8.20597800623658e+001dB,1.79936318092868e+002°)
8.89139705019458e+005	(8.20595353232939e+001dB,1.79937545039422e+002°)
9.09850429304988e+005	(8.20592996026105e+001dB,1.79938819067576e+002°)
9.31043568331430e+005	(8.20590732894015e+001dB,1.79940136501097e+002°)
9.52730358981620e+005	(8.20588567280721e+001dB,1.79941493487392e+002°)
9.74922299879019e+005	(8.20586502160872e+001dB,1.79942886026114e+002°)
9.97631157484436e+005	(8.20584540022091e+001dB,1.79944309999212e+002°)
1.02086897233476e+006	(8.20582682852577e+001dB,1.79945761201987e+002°)
1.04464806542702e+006	(8.20580932134052e+001dB,1.79947235374706e+002°)
1.06898104475111e+006	(8.20579288840084e+001dB,1.79948728234314e+002°)
1.09388081197477e+006	(8.20577753439730e+001dB,1.79950235505785e+002°)
1.11936056928417e+006	(8.20576325906312e+001dB,1.79951752952692e+002°)
1.14543382638388e+006	(8.20575005731088e+001dB,1.79953276406562e+002°)
1.17211440765996e+006	(8.20573791941460e+001dB,1.79954801794663e+002°)
1.19941645950974e+006	(8.20572683123322e+001dB,1.79956325165865e+002°)
